Level,State/UT,Year,District/Block,Rainfall (mm),Recharge (ham),Natural Discharge (ham),Extractable (ham),Extraction (ham),Stage (%),Status
District/Block,Chhattisgarh,2023-2024,BILASPUR,1114.46,,,46469.12,27932.02,60.11,Safe
District/Block,Chhattisgarh,2023-2024,DANTEWADA,1327.9,,,24894.41,4589.33,18.44,Safe
District/Block,Chhattisgarh,2023-2024,DHAMTARI,1385.3,,,61658.56,45067.33,73.09,Semi-Critical
District/Block,Chhattisgarh,2023-2024,DURG,1122.9,,,39069.82,29385.91,75.21,Semi-Critical
District/Block,Chhattisgarh,2023-2024,GARIABAND,1385.3,,,33768.88,21412.31,63.41,Safe
District/Block,Chhattisgarh,2023-2024,GOURELA-PENDRA-MARWAHI,1229.8,,,13101.92,5166.22,39.43,Safe
District/Block,Chhattisgarh,2023-2024,JANJGIR-CHAMPA,1386.0,,,44119.59,11238.96,25.47,Safe
District/Block,Chhattisgarh,2023-2024,JASHPUR,1480.03,,,32125.95,15513.57,48.29,Safe
District/Block,Chhattisgarh,2023-2024,KABIRDHAM,1117.0,,,65726.44,38802.73,59.04,Safe
District/Block,Chhattisgarh,2023-2024,KANKER,1397.51,,,65827.11,24821.87,37.71,Safe
District/Block,Chhattisgarh,2023-2024,KHAIRAGARH-CHHUIKHADAN_GANDAI,1208.7,,,17837.85,11208.9,62.84,Safe
District/Block,Chhattisgarh,2023-2024,KONDAGAON,1362.4,,,35023.83,15115.86,43.16,Safe
District/Block,Chhattisgarh,2023-2024,KORBA,1392.0,,,45718.6,16345.51,35.75,Safe
District/Block,Chhattisgarh,2023-2024,KOREA,1317.0,,,13798.26,6795.84,49.25,Safe
District/Block,Chhattisgarh,2023-2024,MAHASAMUND,1406.24,,,93824.38,56616.87,60.34,Safe
District/Block,Chhattisgarh,2023-2024,MANENDRAGARH-CHIRMIRI_BHARATPUR,1317.0,,,46722.49,9560.12,20.46,Safe
District/Block,Chhattisgarh,2023-2024,MOHLA-MANPUR_AMBAGARHCHOWKI,1208.7,,,15202.26,5881.71,38.69,Safe
District/Block,Chhattisgarh,2023-2024,MUNGELI,1351.0,,,24554.8,11265.81,45.88,Safe
District/Block,Chhattisgarh,2023-2024,NARAYANPUR,1404.1,,,24506.5,1797.24,7.33,Safe
District/Block,Chhattisgarh,2023-2024,RAIGARH,1466.0,,,38311.02,16500.96,43.07,Safe
District/Block,Chhattisgarh,2023-2024,RAIPUR,1376.34,,,46019.71,27226.94,59.16,Safe
District/Block,Chhattisgarh,2023-2024,RAJNANDGAON,1208.7,,,35202.83,24445.65,69.44,Safe
District/Block,Chhattisgarh,2023-2024,SAKTI,1386.0,,,29846.93,14234.66,47.69,Safe
District/Block,Chhattisgarh,2023-2024,SARANGARH-BILAIRAGH,1418.41,,,22795.8,8875.05,38.93,Safe
District/Block,Chhattisgarh,2023-2024,SUKMA,1403.85,,,41543.45,2568.36,6.18,Safe
District/Block,Chhattisgarh,2023-2024,SURAJPUR,1241.81,,,37019.63,22676.75,61.26,Safe
District/Block,Chhattisgarh,2023-2024,SURGUJA,1369.15,,,38887.19,18492.95,47.56,Safe
District/Block,Delhi,2023-2024,CENTRAL,494.0,,,2216.81,1795.89,81.01,Semi-Critical
District/Block,Delhi,2023-2024,EAST,600.26,,,1493.8,1468.03,98.27,Critical
District/Block,Delhi,2023-2024,NAZUL LAND,600.26,,,498.82,319.07,63.96,Safe
District/Block,Delhi,2023-2024,NEW DELHI,671.73,,,2720.18,3673.74,135.06,Over-Exploited
District/Block,Delhi,2023-2024,NORTH,600.88,,,4006.51,4586.85,114.48,Over-Exploited
District/Block,Delhi,2023-2024,NORTH EAST,494.0,,,1598.07,1727.98,108.13,Over-Exploited
District/Block,Delhi,2023-2024,NORTH WEST,600.88,,,3432.98,2369.85,69.03,Safe
District/Block,Delhi,2023-2024,SHAHDARA,494.0,,,1452.89,1697.54,116.84,Over-Exploited
District/Block,Delhi,2023-2024,SOUTH,698.96,,,4061.26,4568.49,112.49,Over-Exploited
District/Block,Delhi,2023-2024,SOUTH EAST,698.96,,,2422.02,2377.36,98.16,Critical
District/Block,Delhi,2023-2024,SOUTH WEST,641.95,,,6699.33,6339.33,94.63,Critical
District/Block,Delhi,2023-2024,WEST,634.34,,,3587.77,3530.37,98.4,Critical
District/Block,Goa,2023-2024,GOA NORTH,3354.45,,,13261.4,3582.4,27.01,Safe
District/Block,Goa,2023-2024,SOUTH GOA,3355.93,,,17535.31,3473.36,19.81,Safe
District/Block,Gujarat,2023-2024,AHMEDABAD,700.66,,,42252.27,31109.04,73.63,Semi-Critical
District/Block,Gujarat,2023-2024,AMRELI,735.33,,,142638.45,78954.83,55.35,Safe
District/Block,Gujarat,2023-2024,ANAND,859.29,,,108872.88,30027.83,27.58,Safe
District/Block,Gujarat,2023-2024,ARVALLI,900.77,,,87983.52,37540.96,42.67,Safe
District/Block,Gujarat,2023-2024,BANASKANTHA,686.13,,,118160.28,141567.8,119.81,Over-Exploited
District/Block,Gujarat,2023-2024,BHARUCH,805.15,,,63848.5,17006.6,26.64,Safe
District/Block,Gujarat,2023-2024,BHAVNAGAR,690.74,,,108135.67,46180.9,42.71,Safe
District/Block,Gujarat,2023-2024,BOTAD,713.71,,,41548.45,23742.25,57.14,Safe
District/Block,Gujarat,2023-2024,CHHOTA UDEPUR,1118.58,,,56696.9,24539.77,43.28,Safe
District/Block,Gujarat,2023-2024,DAHOD,724.15,,,33845.95,12852.78,37.97,Safe
District/Block,Gujarat,2023-2024,DANG,2388.39,,,33973.62,4549.55,13.39,Safe
District/Block,Gujarat,2023-2024,DEVBHUMI DWARKA,919.3,,,41797.85,28535.96,68.27,Safe
District/Block,Gujarat,2023-2024,GANDHINAGAR,794.83,,,59459.84,61050.26,102.67,Over-Exploited
District/Block,Gujarat,2023-2024,GIR SOMNATH,1107.9,,,70826.98,33728.9,47.62,Safe
District/Block,Gujarat,2023-2024,JAMNAGAR,808.29,,,136228.35,54636.14,40.11,Safe
District/Block,Gujarat,2023-2024,JUNAGADH,1181.57,,,152503.32,69548.36,45.6,Safe
District/Block,Gujarat,2023-2024,KACHCHH,560.35,,,91049.98,49558.48,54.43,Safe
District/Block,Gujarat,2023-2024,KHEDA,859.3,,,79371.38,30648.78,38.61,Safe
District/Block,Gujarat,2023-2024,MAHESANA,760.21,,,73897.33,81042.94,109.67,Over-Exploited
District/Block,Gujarat,2023-2024,MAHISAGAR,751.59,,,30604.1,15024.83,49.09,Safe
District/Block,Gujarat,2023-2024,MORBI,626.03,,,66233.99,33738.45,50.94,Safe
District/Block,Gujarat,2023-2024,NARMADA,1122.7,,,38693.14,24432.04,63.14,Safe
District/Block,Gujarat,2023-2024,NAVSARI,1894.64,,,74959.84,22135.31,29.53,Safe
District/Block,Gujarat,2023-2024,PANCHMAHAL,912.1,,,53877.92,12882.98,23.91,Safe
District/Block,Gujarat,2023-2024,PATAN,627.47,,,36035.08,40396.66,112.1,Over-Exploited
District/Block,Gujarat,2023-2024,PORBANDAR,843.63,,,21206.22,12037.49,56.76,Safe
District/Block,Gujarat,2023-2024,RAJKOT,809.39,,,163804.34,107554.69,65.66,Safe
District/Block,Gujarat,2023-2024,RANA AND KUTCH,,,,0.0,,,
District/Block,Gujarat,2023-2024,SABARKANTHA,919.29,,,76157.96,54868.46,72.05,Semi-Critical
District/Block,Gujarat,2023-2024,SURAT,1551.19,,,134468.93,57022.1,42.41,Safe
District/Block,Gujarat,2023-2024,SURENDRANAGAR,606.88,,,76058.35,37335.2,49.09,Safe
District/Block,Gujarat,2023-2024,TAPI,1484.27,,,70815.24,23128.06,32.66,Safe
District/Block,Gujarat,2023-2024,VADODARA,897.58,,,102632.67,68646.06,66.89,Safe
District/Block,Gujarat,2023-2024,VALSAD,2487.5,,,69211.53,20470.65,29.58,Safe
District/Block,Haryana,2023-2024,AMBALA,1065.56,,,39386.46,50167.46,127.37,Over-Exploited
District/Block,Haryana,2023-2024,BHIWANI,346.87,,,39792.04,41646.69,104.66,Over-Exploited
District/Block,Haryana,2023-2024,CHARKHI DADRI,648.98,,,22328.73,24315.28,108.9,Over-Exploited
District/Block,Haryana,2023-2024,FARIDABAD,601.54,,,13094.56,23686.45,180.89,Over-Exploited
District/Block,Haryana,2023-2024,FATEHABAD,291.41,,,58305.84,103197.33,176.99,Over-Exploited
District/Block,Haryana,2023-2024,GURGAON,559.49,,,20333.39,43262.85,212.77,Over-Exploited
District/Block,Haryana,2023-2024,HISAR,365.87,,,56893.61,50427.17,88.63,Semi-Critical
District/Block,Haryana,2023-2024,JHAJJAR,424.68,,,44429.79,22663.35,51.01,Safe
District/Block,Haryana,2023-2024,JIND,529.72,,,78270.64,88691.63,113.31,Over-Exploited
District/Block,Haryana,2023-2024,KAITHAL,483.55,,,42302.15,80475.07,190.24,Over-Exploited
District/Block,Haryana,2023-2024,KARNAL,654.4,,,105847.37,184020.79,173.85,Over-Exploited
District/Block,Haryana,2023-2024,KURUKSHETRA,624.24,,,37088.56,84718.78,228.42,Over-Exploited
District/Block,Haryana,2023-2024,MAHENDRAGARH,332.92,,,20160.81,29333.32,145.5,Over-Exploited
District/Block,Haryana,2023-2024,MEWAT,434.98,,,16544.94,12571.16,75.98,Semi-Critical
District/Block,Haryana,2023-2024,PALWAL,441.59,,,39240.63,37074.16,94.48,Critical
District/Block,Haryana,2023-2024,PANCHKULA,1379.0,,,13433.49,8366.39,62.28,Safe
District/Block,Haryana,2023-2024,PANIPAT,481.93,,,46265.14,102757.22,222.11,Over-Exploited
District/Block,Haryana,2023-2024,REWARI,541.91,,,26401.64,35038.13,132.71,Over-Exploited
District/Block,Haryana,2023-2024,ROHTAK,442.21,,,32016.33,16373.52,51.14,Safe
District/Block,Haryana,2023-2024,SIRSA,283.66,,,56574.58,86340.16,152.61,Over-Exploited
District/Block,Haryana,2023-2024,SONIPAT,650.39,,,72508.91,75851.18,104.61,Over-Exploited
District/Block,Haryana,2023-2024,YAMUNA NAGAR,901.0,,,54637.95,71380.73,130.64,Over-Exploited
District/Block,Himachal Pradesh,2023-2024,BLS,1506.9,,,2439.95,1034.26,42.39,Safe
District/Block,Himachal Pradesh,2023-2024,CHAUNTRA VALLEY,1506.9,,,4703.14,130.3,2.77,Safe
District/Block,Himachal Pradesh,2023-2024,DHARAMSHALA PALAMPUR VALLEY,2019.8,,,12324.36,3142.96,25.5,Safe
District/Block,Himachal Pradesh,2023-2024,KNG,1110.7,,,669.18,415.6,62.11,Safe
District/Block,Himachal Pradesh,2023-2024,LAS,1618.3,,,1638.0,624.44,38.12,Safe
District/Block,Himachal Pradesh,2023-2024,NALAGARH VALLEY,1366.2,,,15234.42,8819.71,57.89,Safe
District/Block,Himachal Pradesh,2023-2024,NURPUR & INDAURA vALLEY,2019.8,,,37528.06,8174.27,21.78,Safe
District/Block,Himachal Pradesh,2023-2024,POANTA VALLEY,1618.3,,,7769.72,1564.2,20.13,Safe
District/Block,Himachal Pradesh,2023-2024,UNA VALLEY BEAS CATCHMENT,1110.7,,,950.87,245.84,25.85,Safe
District/Block,Himachal Pradesh,2023-2024,UNA VALLEY SUTLEJ CATCHMENT,1110.7,,,17779.62,11699.36,65.8,Safe
District/Block,Jammu & Kashmir,2023-2024,Anantnag,1235.1,,,12550.67,2366.96,18.86,Safe
District/Block,Jammu & Kashmir,2023-2024,Bandipora,1069.1,,,5839.38,673.14,11.53,Safe
District/Block,Jammu & Kashmir,2023-2024,Baramulla,1535.0,,,15441.85,2215.84,14.35,Safe
District/Block,Jammu & Kashmir,2023-2024,Barmulla,0.0,,,0.0,,,
District/Block,Jammu & Kashmir,2023-2024,Budgam,721.8,,,4765.08,1324.54,27.8,Safe
District/Block,Jammu & Kashmir,2023-2024,Doda,1262.8,,,935.02,192.52,20.59,Safe
District/Block,Jammu & Kashmir,2023-2024,Ganderbal,721.8,,,845.77,446.15,52.75,Safe
District/Block,Jammu & Kashmir,2023-2024,Jammu,1338.9,,,42061.98,13639.43,32.43,Safe
District/Block,Jammu & Kashmir,2023-2024,Kathua,1338.9,,,22406.66,7345.65,32.78,Safe
District/Block,Jammu & Kashmir,2023-2024,Kishtwar,1262.8,,,1185.69,186.34,15.72,Safe
District/Block,Jammu & Kashmir,2023-2024,Kulgam,1235.1,,,6130.63,1254.75,20.47,Safe
District/Block,Jammu & Kashmir,2023-2024,Kupwara,0.0,,,0.0,,,
District/Block,Jammu & Kashmir,2023-2024,Kupwarar,1069.1,,,5623.96,1199.43,21.33,Safe
District/Block,Jammu & Kashmir,2023-2024,Mirpur,0.0,,,0.0,,,
District/Block,Jammu & Kashmir,2023-2024,Muzaffarabad,0.0,,,0.0,,,
District/Block,Jammu & Kashmir,2023-2024,Poonch,1350.1,,,4639.69,782.4,16.86,Safe
District/Block,Jammu & Kashmir,2023-2024,Pulwama,721.8,,,6055.28,1988.9,32.85,Safe
District/Block,Jammu & Kashmir,2023-2024,Rajouri,2198.8,,,26025.27,2021.42,7.77,Safe
District/Block,Jammu & Kashmir,2023-2024,Ramban,1350.1,,,636.77,211.91,33.28,Safe
District/Block,Jammu & Kashmir,2023-2024,Reasi,2198.8,,,21866.26,2403.63,10.99,Safe
District/Block,Jammu & Kashmir,2023-2024,Samba,1338.9,,,19784.75,2727.02,13.78,Safe
District/Block,Jammu & Kashmir,2023-2024,Shopian,1235.1,,,6646.22,1026.36,15.44,Safe
District/Block,Jammu & Kashmir,2023-2024,Srinagar,721.8,,,10986.71,6947.93,63.24,Safe
District/Block,Jammu & Kashmir,2023-2024,Srinagar Hilly Area,0.0,,,0.0,,,
District/Block,Jammu & Kashmir,2023-2024,Udhampur,2198.8,,,15902.05,2356.22,14.82,Safe
District/Block,Jharkhand,2023-2024,BOKARO,1208.84,,,19370.16,8836.03,45.62,Safe
District/Block,Jharkhand,2023-2024,CHATRA,1148.25,,,24472.9,9274.93,37.9,Safe
District/Block,Jharkhand,2023-2024,DEOGHAR,1309.02,,,16086.39,8418.04,52.33,Safe
District/Block,Jharkhand,2023-2024,DHANBAD,1388.33,,,25856.12,18937.83,73.24,Semi-Critical
District/Block,Jharkhand,2023-2024,DUMKA,1422.65,,,26184.59,6227.25,23.78,Safe
District/Block,Jharkhand,2023-2024,EAST SINGHBHUM,1438.36,,,25872.41,7614.49,29.43,Safe
District/Block,Jharkhand,2023-2024,GARHWA,1088.73,,,27371.69,9921.05,36.25,Safe
District/Block,Jharkhand,2023-2024,GIRIDIH,1241.59,,,40030.99,15152.91,37.85,Safe
District/Block,Jharkhand,2023-2024,GODDA,1180.23,,,21192.96,4550.41,21.47,Safe
District/Block,Jharkhand,2023-2024,GUMLA,1369.15,,,32362.62,5603.44,17.31,Safe
District/Block,Jharkhand,2023-2024,HAZARIBAGH,1338.26,,,32028.95,11645.93,36.36,Safe
District/Block,Jharkhand,2023-2024,JAMTARA,1443.8,,,8446.5,3773.71,44.68,Safe
District/Block,Jharkhand,2023-2024,KHUNTI,1409.24,,,12598.28,3391.01,26.92,Safe
District/Block,Jharkhand,2023-2024,KODERMA,1129.6,,,6208.74,4081.75,65.74,Safe
District/Block,Jharkhand,2023-2024,LATEHAR,1279.46,,,22580.63,6566.2,29.08,Safe
District/Block,Jharkhand,2023-2024,LOHARDAGA,1238.59,,,17861.22,2716.28,15.21,Safe
District/Block,Jharkhand,2023-2024,PAKUR,1660.18,,,24142.16,3465.89,14.36,Safe
District/Block,Jharkhand,2023-2024,PALAMAU,1023.89,,,31405.71,10975.84,34.95,Safe
District/Block,Jharkhand,2023-2024,RAMGARH,1307.76,,,10569.74,6355.02,60.12,Safe
District/Block,Jharkhand,2023-2024,RANCHI,1314.06,,,36933.25,17126.13,46.37,Safe
District/Block,Jharkhand,2023-2024,SAHEBGANJ,1564.25,,,28152.76,4447.33,15.8,Safe
District/Block,Jharkhand,2023-2024,SARAIKELA KHARSAWAN,1322.67,,,17083.27,3727.05,21.82,Safe
District/Block,Jharkhand,2023-2024,SIMDEGA,1547.74,,,23110.73,3148.74,13.62,Safe
District/Block,Jharkhand,2023-2024,WEST SINGHBHUM,1329.25,,,45832.74,4921.27,10.74,Safe
District/Block,Karnataka,2023-2024,Bagalkot,661.15,,,58812.48,49649.62,84.42,Semi-Critical
District/Block,Karnataka,2023-2024,Ballari,618.82,,,61973.96,16500.68,26.63,Safe
